file,specialty,language_code,language,visit_type,speaker_accuracy,precision,recall,f1_score,medical_terms_count,wer,cer,bleu,cosine_similarity,model
cardiology_8_consultation,cardiology,en-CA,English,consultation,0.5555555555555556,1.0,0.8181818181818182,0.9,11,0.2905982905982906,0.26422764227642276,0.679355826891028,0.9165273516371526,whisper-v3-turbo-Nvidio_Nemo
cardiology_9_followup,cardiology,en-CA,English,followup,0.8333333333333334,1.0,1.0,1.0,8,0.12946428571428573,0.13046937151949084,0.8556916098205647,0.9601755918673884,whisper-v3-turbo-Nvidio_Nemo
cardiology_9_consultation,cardiology,en-CA,English,consultation,0.5625,1.0,0.8888888888888888,0.9411764705882353,9,0.22509225092250923,0.21778940483976456,0.7996792258658916,0.9335581884213605,whisper-v3-turbo-Nvidio_Nemo
cardiology_10_followup,cardiology,en-CA,English,followup,0.6153846153846154,1.0,0.8,0.888888888888889,10,0.2556053811659193,0.25842696629213485,0.7359387357748942,0.8907608769783782,whisper-v3-turbo-Nvidio_Nemo
cardiology_4_followup,cardiology,en-CA,English,followup,0.42857142857142855,1.0,0.8333333333333334,0.9090909090909091,6,0.21103896103896103,0.1947521865889213,0.755752655287695,0.9494855785261211,whisper-v3-turbo-Nvidio_Nemo
cardiology_7_followup,cardiology,en-CA,English,followup,0.5833333333333334,1.0,1.0,1.0,5,0.21991701244813278,0.20885093167701863,0.8304865924466801,0.9467219654578285,whisper-v3-turbo-Nvidio_Nemo
cardiology_10_consultation,cardiology,en-CA,English,consultation,0.7777777777777778,1.0,0.9230769230769231,0.9600000000000001,13,0.24437299035369775,0.22553897180762852,0.6990944391805465,0.9086712835777997,whisper-v3-turbo-Nvidio_Nemo
cardiology_3_followup,cardiology,en-CA,English,followup,0.8333333333333334,1.0,1.0,1.0,8,0.13392857142857142,0.1464,0.8500045549495115,0.9582762475732078,whisper-v3-turbo-Nvidio_Nemo
cardiology_2_followup,cardiology,en-CA,English,followup,0.6428571428571429,1.0,0.8,0.888888888888889,5,0.21839080459770116,0.24318801089918257,0.7440340274185732,0.9271912773376075,whisper-v3-turbo-Nvidio_Nemo
cardiology_6_followup,cardiology,en-CA,English,followup,0.5384615384615384,1.0,1.0,1.0,6,0.24074074074074073,0.21229991575400167,0.7699069542217599,0.9008293752598151,whisper-v3-turbo-Nvidio_Nemo
cardiology_7_consultation,cardiology,en-CA,English,consultation,0.75,1.0,0.8888888888888888,0.9411764705882353,9,0.14625850340136054,0.12229299363057325,0.8247003244914248,0.9446953871686408,whisper-v3-turbo-Nvidio_Nemo
cardiology_2_consultation,cardiology,en-CA,English,consultation,0.8,1.0,0.9166666666666666,0.9565217391304348,12,0.14836795252225518,0.14796747967479676,0.8071998408347446,0.9491846067937906,whisper-v3-turbo-Nvidio_Nemo
cardiology_6_consultation,cardiology,en-CA,English,consultation,0.7647058823529411,1.0,1.0,1.0,8,0.23728813559322035,0.20800485142510614,0.7414367367067639,0.9281463513343173,whisper-v3-turbo-Nvidio_Nemo
cardiology_1_followup,cardiology,en-CA,English,followup,1.0,1.0,0.7,0.8235294117647058,10,0.2948717948717949,0.296127562642369,0.6460386656960151,0.8830521167150278,whisper-v3-turbo-Nvidio_Nemo
cardiology_5_followup,cardiology,en-CA,English,followup,0.6923076923076923,1.0,0.5,0.6666666666666666,4,0.2708333333333333,0.2773279352226721,0.7166744374795835,0.9303144818908197,whisper-v3-turbo-Nvidio_Nemo
cardiology_3_consultation,cardiology,en-CA,English,consultation,0.5882352941176471,1.0,1.0,1.0,9,0.15916955017301038,0.15042630937880633,0.8067830714409324,0.9365925075258332,whisper-v3-turbo-Nvidio_Nemo
cardiology_5_consultation,cardiology,en-CA,English,consultation,0.5833333333333334,1.0,1.0,1.0,8,0.13196480938416422,0.11528429838288994,0.8443852980016219,0.9501546814882195,whisper-v3-turbo-Nvidio_Nemo
cardiology_4_consultation,cardiology,en-CA,English,consultation,0.8125,1.0,1.0,1.0,8,0.14860681114551083,0.14113785557986872,0.835990931117076,0.9471689979371094,whisper-v3-turbo-Nvidio_Nemo
cardiology_8_followup,cardiology,en-CA,English,followup,0.6153846153846154,1.0,1.0,1.0,8,0.2796610169491525,0.25227272727272726,0.7359987124078763,0.911740716708505,whisper-v3-turbo-Nvidio_Nemo
cardiology_1_consultation,cardiology,en-CA,English,consultation,0.7058823529411765,1.0,0.9090909090909091,0.9523809523809523,11,0.19951338199513383,0.16847119965352966,0.7667951531043511,0.9373062058574725,whisper-v3-turbo-Nvidio_Nemo
cardiology_8_consultation,cardiology,fr-CA,French,consultation,0.5,1.0,0.6666666666666666,0.8,12,0.47413793103448276,0.5029693924166286,0.48740341284299643,0.8189257836334646,whisper-v3-turbo-Nvidio_Nemo
cardiology_9_followup,cardiology,fr-CA,French,followup,0.8571428571428571,1.0,0.4444444444444444,0.6153846153846153,9,0.5578947368421052,0.5760626398210291,0.2831142473545362,0.8145657333607822,whisper-v3-turbo-Nvidio_Nemo
cardiology_9_consultation,cardiology,fr-CA,French,consultation,0.9166666666666666,1.0,0.5384615384615384,0.7000000000000001,13,0.5172413793103449,0.526583448913546,0.3858577385870275,0.829549704951198,whisper-v3-turbo-Nvidio_Nemo
cardiology_10_followup,cardiology,fr-CA,French,followup,1.0,1.0,0.42857142857142855,0.6,7,0.5153374233128835,0.5232558139534884,0.410915769577069,0.7597501665279565,whisper-v3-turbo-Nvidio_Nemo
cardiology_4_followup,cardiology,fr-CA,French,followup,0.6363636363636364,1.0,0.875,0.9333333333333333,8,0.24324324324324326,0.23406113537117904,0.7496833504895565,0.9179611481642636,whisper-v3-turbo-Nvidio_Nemo
cardiology_7_followup,cardiology,fr-CA,French,followup,1.0,1.0,0.18181818181818182,0.3076923076923077,11,0.548951048951049,0.6102794411177644,0.2940361176609015,0.6417138046896839,whisper-v3-turbo-Nvidio_Nemo
cardiology_10_consultation,cardiology,fr-CA,French,consultation,1.0,1.0,0.75,0.8571428571428571,12,0.24864864864864866,0.2564575645756458,0.6840155548793293,0.8710239139996327,whisper-v3-turbo-Nvidio_Nemo
cardiology_3_followup,cardiology,fr-CA,French,followup,1.0,1.0,0.7,0.8235294117647058,10,0.48148148148148145,0.46238716148445336,0.4213367912086071,0.7100135840992393,whisper-v3-turbo-Nvidio_Nemo
cardiology_2_followup,cardiology,fr-CA,French,followup,0.75,1.0,0.7777777777777778,0.8750000000000001,9,0.47079037800687284,0.4752688172043011,0.4364065479676257,0.836432368773659,whisper-v3-turbo-Nvidio_Nemo
cardiology_6_followup,cardiology,fr-CA,French,followup,0.8333333333333334,1.0,0.3333333333333333,0.5,12,0.47112462006079026,0.49976426214049974,0.4045898199098213,0.8135620032213361,whisper-v3-turbo-Nvidio_Nemo
cardiology_7_consultation,cardiology,fr-CA,French,consultation,1.0,1.0,0.5454545454545454,0.7058823529411764,11,0.46688741721854304,0.5046273745737945,0.4699197336829238,0.830779874194756,whisper-v3-turbo-Nvidio_Nemo
cardiology_2_consultation,cardiology,fr-CA,French,consultation,1.0,1.0,0.6363636363636364,0.7777777777777778,11,0.43,0.4495596477181745,0.4740822908888556,0.8770044540753211,whisper-v3-turbo-Nvidio_Nemo
cardiology_6_consultation,cardiology,fr-CA,French,consultation,0.6875,1.0,0.6470588235294118,0.7857142857142858,17,0.3886255924170616,0.4128774099672608,0.5223289872565827,0.887210522766845,whisper-v3-turbo-Nvidio_Nemo
cardiology_1_followup,cardiology,fr-CA,French,followup,0.25,1.0,1.0,1.0,5,0.19387755102040816,0.1920704845814978,0.7731610022253345,0.9322671266210202,whisper-v3-turbo-Nvidio_Nemo
cardiology_5_followup,cardiology,fr-CA,French,followup,1.0,1.0,0.38461538461538464,0.5555555555555556,13,0.45209580838323354,0.47368421052631576,0.4403347387490116,0.7905009590755246,whisper-v3-turbo-Nvidio_Nemo
cardiology_3_consultation,cardiology,fr-CA,French,consultation,1.0,0.9090909090909091,0.625,0.7407407407407406,16,0.37073170731707317,0.3880764904386952,0.5559594434876298,0.8992444570260878,whisper-v3-turbo-Nvidio_Nemo
cardiology_5_consultation,cardiology,fr-CA,French,consultation,1.0,1.0,0.7272727272727273,0.8421052631578948,11,0.3978021978021978,0.4258087201125176,0.5325601980481772,0.8710474864087924,whisper-v3-turbo-Nvidio_Nemo
cardiology_4_consultation,cardiology,fr-CA,French,consultation,1.0,1.0,0.9166666666666666,0.9565217391304348,12,0.20100502512562815,0.17872340425531916,0.7726236956645931,0.892452124956304,whisper-v3-turbo-Nvidio_Nemo
cardiology_8_followup,cardiology,fr-CA,French,followup,0.875,1.0,0.4444444444444444,0.6153846153846153,9,0.495114006514658,0.5173292558613659,0.37662577240682366,0.8112375173749733,whisper-v3-turbo-Nvidio_Nemo
cardiology_1_consultation,cardiology,fr-CA,French,consultation,1.0,1.0,0.9,0.9473684210526316,10,0.24829931972789115,0.19786396852164137,0.7758458427701186,0.9350646492994987,whisper-v3-turbo-Nvidio_Nemo
gp_8_consultation,gp,en-CA,English,consultation,0.8,1.0,1.0,1.0,4,0.17434210526315788,0.14864864864864866,0.7973154498414909,0.9585994390152593,whisper-v3-turbo-Nvidio_Nemo
gp_9_followup,gp,en-CA,English,followup,0.7333333333333333,1.0,1.0,1.0,3,0.17263843648208468,0.17099430018999368,0.821749792391837,0.9515316494182583,whisper-v3-turbo-Nvidio_Nemo
gp_9_consultation,gp,en-CA,English,consultation,0.5,1.0,1.0,1.0,7,0.16791979949874686,0.16064814814814815,0.7919111665195296,0.940332652090412,whisper-v3-turbo-Nvidio_Nemo
gp_10_followup,gp,en-CA,English,followup,1.0,1.0,1.0,1.0,3,0.19753086419753085,0.21312741312741312,0.7590311301047885,0.9384300453021497,whisper-v3-turbo-Nvidio_Nemo
gp_4_followup,gp,en-CA,English,followup,0.7894736842105263,1.0,1.0,1.0,4,0.18789808917197454,0.19390581717451524,0.8307437209163786,0.9467115155550929,whisper-v3-turbo-Nvidio_Nemo
gp_3_followup,gp,en-CA,English,followup,0.8333333333333334,1.0,0.75,0.8571428571428571,4,0.1494661921708185,0.14474553866490417,0.8649952255239927,0.9592597176790019,whisper-v3-turbo-Nvidio_Nemo
gp_7_followup,gp,en-CA,English,followup,0.6428571428571429,1.0,1.0,1.0,3,0.14068441064638784,0.12544802867383512,0.8193542568278164,0.9623591377017382,whisper-v3-turbo-Nvidio_Nemo
gp_7_consultation,gp,en-CA,English,consultation,0.6666666666666666,1.0,1.0,1.0,2,0.20618556701030927,0.18729747245625405,0.8222060999226054,0.9353006864963644,whisper-v3-turbo-Nvidio_Nemo
gp_6_followup,gp,en-CA,English,followup,0.9090909090909091,1.0,1.0,1.0,3,0.3073394495412844,0.3163934426229508,0.6899983645263427,0.909378763015433,whisper-v3-turbo-Nvidio_Nemo
gp_2_consultation,gp,en-CA,English,consultation,0.5789473684210527,1.0,1.0,1.0,4,0.17352941176470588,0.1687435098650052,0.8063584584236446,0.9633312475027628,whisper-v3-turbo-Nvidio_Nemo
gp_2_followup,gp,en-CA,English,followup,0.7058823529411765,1.0,0.6666666666666666,0.8,3,0.2542372881355932,0.23292916400765795,0.7746320038762576,0.9406340991690259,whisper-v3-turbo-Nvidio_Nemo
gp_5_followup,gp,en-CA,English,followup,0.7142857142857143,1.0,0.6666666666666666,0.8,3,0.125,0.13222543352601157,0.8616788860474791,0.9651957539326618,whisper-v3-turbo-Nvidio_Nemo
gp_6_consultation,gp,en-CA,English,consultation,0.7692307692307693,1.0,1.0,1.0,2,0.17372881355932204,0.16717791411042945,0.8009300202457655,0.9636803318291363,whisper-v3-turbo-Nvidio_Nemo
gp_1_followup,gp,en-CA,English,followup,0.9,0.0,0.0,0.0,2,0.29596412556053814,0.2959094865100087,0.639195886434228,0.8560889837108827,whisper-v3-turbo-Nvidio_Nemo
gp_3_consultation,gp,en-CA,English,consultation,0.7058823529411765,1.0,1.0,1.0,3,0.18803418803418803,0.1706371191135734,0.7885033169313653,0.9454621018561241,whisper-v3-turbo-Nvidio_Nemo
gp_5_consultation,gp,en-CA,English,consultation,0.5625,1.0,1.0,1.0,6,0.20463320463320464,0.17836676217765043,0.8108372460078233,0.9294808594070233,whisper-v3-turbo-Nvidio_Nemo
gp_10_consultation,gp,en-CA,English,consultation,0.7333333333333333,1.0,0.6666666666666666,0.8,3,0.21686746987951808,0.20269259536275244,0.7707034045392037,0.9162558462111766,whisper-v3-turbo-Nvidio_Nemo
gp_8_followup,gp,en-CA,English,followup,0.4,1.0,0.5,0.6666666666666666,4,0.23076923076923078,0.22114764667956158,0.782427545322012,0.9471575918499338,whisper-v3-turbo-Nvidio_Nemo
gp_4_consultation,gp,en-CA,English,consultation,0.6521739130434783,1.0,0.8333333333333334,0.9090909090909091,6,0.2923076923076923,0.29036761284318285,0.7192268378293364,0.9300455538017712,whisper-v3-turbo-Nvidio_Nemo
gp_1_consultation,gp,en-CA,English,consultation,0.5882352941176471,1.0,1.0,1.0,4,0.23876404494382023,0.24113856068743286,0.770697887455194,0.9408389922399654,whisper-v3-turbo-Nvidio_Nemo
gp_8_consultation,gp,fr-CA,French,consultation,0.375,1.0,0.8181818181818182,0.9,11,0.4048582995951417,0.4068507514854946,0.49059995613007384,0.8746848953100315,whisper-v3-turbo-Nvidio_Nemo
gp_9_followup,gp,fr-CA,French,followup,1.0,1.0,1.0,1.0,5,0.4105960264900662,0.40331491712707185,0.4848846540809738,0.8435413010872862,whisper-v3-turbo-Nvidio_Nemo
gp_9_consultation,gp,fr-CA,French,consultation,1.0,1.0,0.6666666666666666,0.8,3,0.19672131147540983,0.22382324687800192,0.7676526496984928,0.9320599475486208,whisper-v3-turbo-Nvidio_Nemo
gp_10_followup,gp,fr-CA,French,followup,1.0,1.0,1.0,1.0,2,0.2236024844720497,0.21610169491525424,0.7169771877779101,0.8979199516312225,whisper-v3-turbo-Nvidio_Nemo
gp_4_followup,gp,fr-CA,French,followup,1.0,1.0,0.3333333333333333,0.5,3,0.3959731543624161,0.3621867881548975,0.5095882310540756,0.7992996677097467,whisper-v3-turbo-Nvidio_Nemo
gp_3_followup,gp,fr-CA,French,followup,0.3,1.0,0.6,0.7499999999999999,5,0.4,0.4101642710472279,0.5095322565501956,0.829673849409142,whisper-v3-turbo-Nvidio_Nemo
gp_7_followup,gp,fr-CA,French,followup,0.42857142857142855,1.0,0.3333333333333333,0.5,3,0.30952380952380953,0.26853146853146853,0.7222042935098608,0.8734074779884691,whisper-v3-turbo-Nvidio_Nemo
gp_7_consultation,gp,fr-CA,French,consultation,1.0,1.0,0.8571428571428571,0.923076923076923,7,0.20614035087719298,0.21735731039874903,0.7593301708693554,0.9476400472384173,whisper-v3-turbo-Nvidio_Nemo
gp_6_followup,gp,fr-CA,French,followup,0.8461538461538461,1.0,0.4,0.5714285714285715,5,0.44329896907216493,0.4825517993456925,0.4848608907327197,0.8033196831114546,whisper-v3-turbo-Nvidio_Nemo
gp_2_consultation,gp,fr-CA,French,consultation,1.0,1.0,0.5384615384615384,0.7000000000000001,13,0.369727047146402,0.4045584045584046,0.5498883018866539,0.9098555371879391,whisper-v3-turbo-Nvidio_Nemo
gp_2_followup,gp,fr-CA,French,followup,0.6666666666666666,1.0,0.25,0.4,8,0.39655172413793105,0.4477473293079424,0.5139300176654904,0.8460806349064995,whisper-v3-turbo-Nvidio_Nemo
